idc,date,site,habitat,ID,dw,length,N,C,wtN,wtC,C:N,comments
sr4b,11.04,SR,B,111,5.87,14,12.7,-28.6,9.6,39.2,4.1,
sr4b,11.04,SR,B,131,9.52,15,13.8,-30.1,10.1,50.5,5,
sr4b,11.04,SR,B,133,6.04,15,12.7,-28.8,10.6,46.4,4.4,
sr4b,11.04,SR,B,139,8.89,15,14.2,-32,9.8,50.5,5.2,
sr4b,11.04,SR,B,141,7.80,16,12.8,-29.6,10.9,42.1,3.8,
sr4b,11.04,SR,B,160,6.66,14,12.6,-28.3,11.5,44.8,3.8,
sr4b,11.04,SR,B,164,11.56,16,14.3,-32.8,9.4,53.9,5.7,
sr4b,11.04,SR,B,171,9.02,15,13.3,-29.9,10.4,53.4,5.1,
sr4b,11.04,SR,B,198,6.79,14,12.6,-30.3,9.7,47.9,4.9,
sr4b,11.04,SR,B,203,10.65,16,14.6,-31.1,9.8,51.1,5.2,
ms4b,11.04,MS,B,217,9.53,15,13.1,-30.6,10.4,50.1,4.8,
ms4b,11.04,MS,B,225,8.79,15,13.6,-29.7,10.3,50.4,4.9,
ms4b,11.04,MS,B,237,5.36,13,13.4,-28.7,12,47.3,3.9,
ms4b,11.04,MS,B,238,6.51,14,13,-28.7,11.9,46.9,3.9,
ms4b,11.04,MS,B,246,7.03,13,12.9,-30.2,9.1,51.6,5.7,
ms4b,11.04,MS,B,248,6.01,14,12.7,-29.3,10.8,48.9,4.5,
ms4b,11.04,MS,B,273,10.04,15,13.4,-29.3,10.9,49.4,4.5,
ms4b,11.04,MS,B,275,6.24,14,13.4,-28.8,10.8,48.7,4.5,
ms4b,11.04,MS,B,285,6.08,13,12.3,-28.8,10.8,48,4.5,
ms4b,11.04,MS,B,300,12.48,16,13,-29.8,10.3,51.5,5,
ms4p,11.04,MS,P,306,3.25,13,,,,,,Sample lost while crimping.
ms4p,11.04,MS,P,310,6.69,13,13.3,-29.9,10.8,52.3,4.8,
ms4p,11.04,MS,P,324,5.57,13,13.9,-29.2,11.4,49.1,4.3,
ms4p,11.04,MS,P,341,5.18,15,12.8,-28.7,9.9,42.1,4.2,
ms4p,11.04,MS,P,355,5.41,13,12.5,-27.7,8.8,34.3,3.9,Weight percent values suspect. Use with caution.
ms4p,11.04,MS,P,361,3.76,14,12.2,-27.7,10,35.9,3.5,
ms4p,11.04,MS,P,372,5.83,15,14.1,-28,12.3,47.8,3.9,
ms4p,11.04,MS,P,376,3.96,15,13,-28.2,11.4,45.2,3.9,
ms4p,11.04,MS,P,392,4.70,14,13.3,-27.8,13.1,47.1,3.6,
ms4p,11.04,MS,P,398,2.72,15,14.4,-28.8,11,46.6,4.2,
sr13b,11.14,SR,B,410,9.02,16,15,-31,9.7,50.8,5.3,
sr13b,11.14,SR,B,429,5.69,13,13,-28.9,10.4,47.4,4.5,
sr13b,11.14,SR,B,446,7.00,14,13.5,-30.2,10.1,50.6,5,
sr13b,11.14,SR,B,459,4.97,14,12.9,-28,11.7,44.4,3.8,
sr13b,11.14,SR,B,467,6.39,14,13,-29.6,10.2,50.7,5,
sr13b,11.14,SR,B,469,7.84,16,13.2,-28.9,11,45.4,4.1,
sr13b,11.14,SR,B,479,5.82,15,13.8,-29.5,11.2,50.2,4.5,
sr13b,11.14,SR,B,483,11.99,16,14.4,-30.6,10.7,51.2,4.8,
sr13b,11.14,SR,B,491,4.38,16,12.6,-27.6,11.3,42.5,3.8,
sr13b,11.14,SR,B,499,8.05,16,12.7,-29.7,10.3,49.5,4.8,
sr13p,11.14,SR,P,507,6.01,16,14.4,-29.2,13,50.4,3.8,
sr13p,11.14,SR,P,510,2.11,14,13.7,-28.2,12.6,47.3,3.8,
sr13p,11.14,SR,P,533,6.97,16,14.3,-28.7,12.3,47.1,3.8,
sr13p,11.14,SR,P,539,2.04,13,13.9,-28.5,12.7,46.6,3.6,
sr13p,11.14,SR,P,541,4.99,15,13.2,-28.1,12.1,45.1,3.7,
sr13p,11.14,SR,P,542,5.26,14,14.9,-30.5,12.2,49.7,4,
sr13p,11.14,SR,P,544,5.40,15,14.7,-30.3,11.9,46.7,3.9,
sr13p,11.14,SR,P,546,5.32,16,13.4,-29,11.6,47.7,4.1,
sr13p,11.14,SR,P,568,1.07,13,14.3,-28.7,13,47.1,3.6,
sr13p,11.14,SR,P,576,3.87,15,14.8,-30.3,13.5,49.3,3.6,
ch14p,11.14,CH,P,603,5.92,13,13.9,-29.4,11,46.8,4.2,
ch14p,11.14,CH,P,606,2.16,14,12.1,-28.5,10.6,43.8,4.1,
ch14p,11.14,CH,P,610,6.40,15,14.2,-30,11.2,52.1,4.6,
ch14p,11.14,CH,P,613,4.27,14,14,-29.3,11.3,47.3,4.2,
ch14p,11.14,CH,P,621,2.44,13,14.3,-29,12,47,3.9,
ch14p,11.14,CH,P,638,3.41,14,14.4,-28.6,13.5,49.1,3.6,
ch14p,11.14,CH,P,644,4.37,14,14.1,-29.4,10.8,49.1,4.5,
ch14p,11.14,CH,P,660,2.51,14,14.2,-28.8,12.2,47.2,3.9,
ch14p,11.14,CH,P,689,3.91,15,13.7,-28.4,13.4,48.2,3.6,
ch14p,11.14,CH,P,693,3.88,14,14.4,-29.2,11.7,49.1,4.2,
ch14b,11.14,CH,B,702,8.03,14,14.2,-29.4,10.5,49.6,4.7,
ch14b,11.14,CH,B,705,6.00,13,13.8,-29.4,11,48.2,4.3,
ch14b,11.14,CH,B,711,4.49,13,14.3,-28.9,11.8,47.1,4,
ch14b,11.14,CH,B,712,3.80,15,14,-29,11.3,48,4.2,
ch14b,11.14,CH,B,714,5.18,15,14.1,-29.1,11.6,48.5,4.2,
ch14b,11.14,CH,B,716,5.45,14,12.1,-28.2,11.7,43.6,3.7,
ch14b,11.14,CH,B,718,4.76,13,14,-29.3,11,47.6,4.3,
ch14b,11.14,CH,B,750,5.82,14,14.1,-29.5,10.4,49.4,4.8,
ch14b,11.14,CH,B,793,2.00,13,14.3,-28.8,9.4,34.2,3.6,Weight percent values suspect. Use with caution.
ch14b,11.14,CH,B,796,5.51,15,13.9,-28.4,11.1,44.6,4,
ms14p,11.14,MS,P,834,7.11,16,13.1,-29,12,49.4,4.1,
ms14p,11.14,MS,P,841,2.18,13,14.1,-28.4,12.6,46.9,3.7,
ms14p,11.14,MS,P,846,7.02,16,13.4,-28.8,10.8,48,4.4,
ms14p,11.14,MS,P,856,2.66,13,15,-28.6,11.8,45.7,3.9,
ms14p,11.14,MS,P,865,3.13,15,13.9,-28.3,13,46.4,3.6,
ms14p,11.14,MS,P,871,5.58,15,13.8,-29.2,10.9,51,4.7,
ms14p,11.14,MS,P,886,4.84,15,14.3,-28.6,11.7,49.5,4.2,
ms14p,11.14,MS,P,894,2.41,13,15,-28.2,12.3,43.7,3.6,
ms14p,11.14,MS,P,898,6.29,16,14.7,-29.3,11.1,50.9,4.6,
ms14p,11.14,MS,P,899,5.25,14,13.4,-28.4,10.5,40.2,3.8,
ms14b,11.14,MS,B,902,3.53,13,13.9,-28.9,9.8,42.2,4.3,
ms14b,11.14,MS,B,925,6.70,14,13.4,-29.1,10.7,50.2,4.7,
ms14b,11.14,MS,B,930,5.37,16,13.1,-28.3,11.9,46.7,3.9,
ms14b,11.14,MS,B,938,5.27,14,,,,,,Sample lost during the analysis. 
ms14b,11.14,MS,B,941,6.95,15,,,,,,Sample lost during the analysis. 
ms14b,11.14,MS,B,953,7.19,14,13.2,-29.1,10.8,47.1,4.4,
ms14b,11.14,MS,B,969,4.92,15,12.1,-27.5,4.2,15.6,3.7,Weight percent values suspect. Use with caution.
ms14b,11.14,MS,B,978,5.64,16,13.5,-28,5,20.1,4,
ms14b,11.14,MS,B,980,10.80,16,12.8,-29.3,11.6,49.7,4.3,
ms14b,11.14,MS,B,989,3.80,13,13,-27.6,12.2,43.2,3.5,
ms19b,11.19,MS,B,1003,6.47,15,13.3,-28.8,10,40.5,4,
ms19b,11.19,MS,B,1005,7.82,14,12.9,-30,10.3,50.8,4.9,
ms19b,11.19,MS,B,1009,5.31,16,14.4,-28.1,11.7,46.6,4,
ms19b,11.19,MS,B,1031,8.19,16,14.4,-29.3,10.7,45.8,4.3,
ms19b,11.19,MS,B,1035,9.65,15,12.7,-29.4,11.2,49.3,4.4,
ms19b,11.19,MS,B,1039,5.70,14,14.3,-28.3,11.4,47.3,4.1,
ms19b,11.19,MS,B,1068,4.85,14,14.3,-29.2,11.1,48.8,4.4,
ms19b,11.19,MS,B,1070,8.68,15,14.2,-30.7,10.4,51.2,4.9,
ms19b,11.19,MS,B,1089,6.72,16,13.1,-29,10.8,47.1,4.4,
ms19b,11.19,MS,B,1095,3.48,13,14.3,-29.2,12.1,47.2,3.9,
ms19p,11.19,MS,P,1103,4.62,14,13.4,-28.7,11.7,48.9,4.2,
ms19p,11.19,MS,P,1115,3.53,14,13.9,-28,11.5,46,4,
ms19p,11.19,MS,P,1119,6.42,16,12.9,-30.6,10.2,47.2,4.6,
ms19p,11.19,MS,P,1128,3.53,13,13.4,-29.3,12.1,46.5,3.8,
ms19p,11.19,MS,P,1131,3.77,14,12.5,-28.2,11.5,45.9,4,
ms19p,11.19,MS,P,1132,2.97,14,14.5,-28.2,10.2,37.5,3.6,
ms19p,11.19,MS,P,1146,3.47,13,15,-28.2,12.2,46.1,3.7,
ms19p,11.19,MS,P,1153,3.98,14,12.5,-28.1,11.7,44.7,3.8,
ms19p,11.19,MS,P,1175,5.25,15,13.3,-28.6,10.7,47,4.4,
ms19p,11.19,MS,P,1186,4.38,14,12.6,-28,5.3,22.3,4.2,Weight percent values suspect. Use with caution.
ch19b,11.19,CH,B,1202,2.85,13,14.2,-28.8,12,45.4,3.8,
ch19b,11.19,CH,B,1224,3.38,13,14.2,-28,12.2,44.6,3.6,
ch19b,11.19,CH,B,1232,3.79,13,13.8,-28.5,11.8,45.2,3.8,
ch19b,11.19,CH,B,1235,2.92,13,14.2,-28.9,12.3,46.3,3.8,
ch19b,11.19,CH,B,1242,5.77,15,14.4,-29.2,11.6,47.4,4,
ch19b,11.19,CH,B,1258,3.67,14,14.4,-28.1,10.8,39.5,3.7,
ch19b,11.19,CH,B,1261,6.37,15,13.3,-29.1,11.3,46.3,4.1,
ch19b,11.19,CH,B,1291,2.58,13,14,-28.9,12.2,45.9,3.7,
ch19b,11.19,CH,B,1296,2.94,13,14.3,-28.5,12.2,45.6,3.7,
ch19b,11.19,CH,B,1299,2.52,13,14.8,-28.4,12.3,44.7,3.6,
ch19p,11.19,CH,P,1331,2.58,15,14.2,-28.7,12.2,45.5,3.7,
ch19p,11.19,CH,P,1332,2.67,15,14.8,-28.4,6.8,25.4,3.7,Weight percent values suspect. Use with caution.
ch19p,11.19,CH,P,1337,2.26,13,14.5,-28.1,12.5,45.9,3.7,
ch19p,11.19,CH,P,1340,3.55,14,14.6,-28.6,12.4,45.5,3.7,
ch19p,11.19,CH,P,1341,2.50,13,14,-28.9,12.1,45.9,3.8,
ch19p,11.19,CH,P,1358,1.91,13,13.9,-28.9,12.8,45.3,3.5,
ch19p,11.19,CH,P,1360,2.12,16,15,-28.3,13.4,49,3.6,
ch19p,11.19,CH,P,1367,2.36,13,14.2,-29.2,12.8,45.8,3.5,
ch19p,11.19,CH,P,1369,2.47,13,14.5,-28.9,12.5,45.3,3.6,
ch19p,11.19,CH,P,1395,5.01,14,14.3,-28.7,11.4,48.1,4.2,
sr20p,11.19,SR,P,1410,5.92,14,13.2,-29,11.9,48.2,4,
sr20p,11.19,SR,P,1423,3.32,15,13.8,-28.8,11.5,45.9,4,
sr20p,11.19,SR,P,1441,5.81,16,14.1,-29.3,12.1,51.6,4.3,
sr20p,11.19,SR,P,1456,5.97,14,12.7,-27.6,11.2,40.8,3.6,
sr20p,11.19,SR,P,1472,2.17,13,12.6,-27.4,11.8,43.9,3.7,
sr20p,11.19,SR,P,1477,3.74,16,14.4,-28.8,12.9,47,3.6,
sr20p,11.19,SR,P,1481,3.52,14,13.5,-28.4,12.1,43.9,3.6,
sr20p,11.19,SR,P,1485,1.98,13,12.3,-27.7,11.6,42,3.5,
sr20p,11.19,SR,P,1494,4.05,14,14.4,-29.3,11.7,48.1,4.1,
sr20p,11.19,SR,P,1497,2.96,15,12.5,-28.1,11.5,43.1,3.7,
sr20b,11.19,SR,B,1502,4.06,13,13.2,-27.6,11.4,41.6,3.7,
sr20b,11.19,SR,B,1515,8.05,15,14.5,-29.7,10.6,49.4,4.7,
sr20b,11.19,SR,B,1522,5.23,13,14.6,-29.4,10.9,49.1,4.5,
sr20b,11.19,SR,B,1540,10.00,16,13.5,-29.4,11,49.5,4.5,
sr20b,11.19,SR,B,1543,8.67,15,14.3,-31.7,10.2,49.5,4.8,
sr20b,11.19,SR,B,1550,7.60,16,12.4,-29.6,10,47.3,4.7,
sr20b,11.19,SR,B,1577,5.69,15,12.7,-28.2,10.8,43.9,4,
sr20b,11.19,SR,B,1580,5.67,14,13.4,-28.5,10.8,45.5,4.2,
sr20b,11.19,SR,B,1596,4.18,14,12.2,-27.8,11.3,41,3.6,
sr20b,11.19,SR,B,1598,7.76,15,12.7,-30.1,10.3,47.7,4.6,
ms4b,11.04,MS,B,1601,,,13.4,-29.5,10.8,50.4,4.6,
sr20b,11.19,SR,B,1602,,,14.6,-29.6,10.8,49.5,4.6,
sr20b,11.19,SR,B,1603,,,14.1,-29.1,12.6,51.4,4.1,
ms14b,11.14,MS,B,1604,,,13.2,-28.9,10.1,49.1,4.8,
sr4b,11.04,SR,B,1605,,,12.6,-29.4,10.8,46.3,4.3,
