,rep,N.11.04.MS.B,N.11.14.MS.B,N.11.19.MS.B,N.11.04.SR.B,N.11.14.SR.B,N.11.19.SR.B,N.11.04.CH.B,N.11.14.CH.B,N.11.19.CH.B,N.11.04.MS.P,N.11.14.MS.P,N.11.19.MS.P,N.11.04.SR.P,N.11.14.SR.P,N.11.19.SR.P,N.11.04.CH.P,N.11.14.CH.P,N.11.19.CH.P,,
11,1,13.1,13.9,13.3,NA,15,13.2,NA,14.2,14.2,NA,13.1,13.4,NA,14.4,13.2,NA,13.9,14.2,,
12,2,13.6,13.4,12.9,NA,13,14.5,NA,13.8,14.2,13.3,14.1,13.9,NA,13.7,13.8,NA,12.1,NA,,
13,3,13.4,13.1,14.4,NA,13.5,14.6,NA,14.3,13.8,13.9,13.4,12.9,NA,14.3,14.1,NA,14.2,14.5,,
14,4,13,NA,14.4,NA,12.9,13.5,NA,14,14.2,12.8,15,13.4,NA,13.9,12.7,NA,14,14.6,,
15,5,12.9,NA,12.7,NA,13,14.3,NA,14.1,14.4,NA,13.9,12.5,NA,13.2,12.6,NA,14.3,14,,
16,6,12.7,13.2,14.3,NA,13.2,12.4,NA,12.1,14.4,12.2,13.8,14.5,NA,14.9,14.4,NA,14.4,13.9,,N.11.04.MS.B
17,7,13.4,NA,14.3,NA,13.8,12.7,NA,14,13.3,14.1,14.3,15,NA,14.7,13.5,NA,14.1,15,,N.11.14.MS.B
18,8,13.4,13.5,14.2,NA,14.4,13.4,NA,14.1,14,13,15,12.5,NA,13.4,12.3,NA,14.2,14.2,,N.11.19.MS.B
19,9,12.3,12.8,13.1,NA,12.6,12.2,NA,NA,14.3,13.3,14.7,13.3,NA,14.3,14.4,NA,13.7,14.5,,N.11.04.SR.B
20,10,13,13,14.3,NA,12.7,12.7,NA,13.9,14.8,14.4,13.4,NA,NA,14.8,12.5,NA,14.4,14.3,,N.11.14.SR.B
,,,,,,,,,,,,,,,,,,,,,N.11.19.SR.B
,,,,,,,,,,,,,,,,,,,,,N.11.04.CH.B
,,,,,,,,,,,,,,,,,,,,,N.11.14.CH.B
,,,,,,,,,,,,,,,,,,,,,N.11.19.CH.B
,,,,,,,,,,,,,,,,,,,,,N.11.04.MS.P
,,,,,,,,,,,,,,,,,,,,,N.11.14.MS.P
,,,,,,,,,,,,,,,,,,,,,N.11.19.MS.P
,,,,,,,,,,,,,,,,,,,,,N.11.04.SR.P
,,,,,,,,,,,,,,,,,,,,,N.11.14.SR.P
,,,,,,,,,,,,,,,,,,,,,N.11.19.SR.P
,,,,,,,,,,,,,,,,,,,,,N.11.04.CH.P
,,,,,,,,,,,,,,,,,,,,,N.11.14.CH.P
,,,,,,,,,,,,,,,,,,,,,N.11.19.CH.P